# Wavelength(micron) (rp/rs)^2 Error_bars
1.096326570931159239e+01 1.055890355770185488e-02 1.000000000000000082e-05
1.092542747475681963e+01 1.056641280220191499e-02 1.000000000000000082e-05
1.088771983377081476e+01 1.056212797287692240e-02 1.000000000000000082e-05
1.085014233562746178e+01 1.055778763376633532e-02 1.000000000000000082e-05
1.081269453115626789e+01 1.056133358613100051e-02 1.000000000000000082e-05
1.077537597273700243e+01 1.056012205248275763e-02 1.000000000000000082e-05
1.073818621429431452e+01 1.056266848115533161e-02 1.000000000000000082e-05
1.070112481129246262e+01 1.056417527158669788e-02 1.000000000000000082e-05
1.066419132072992326e+01 1.055938345337022015e-02 1.000000000000000082e-05
1.062738530113414548e+01 1.055888835717629787e-02 1.000000000000000082e-05
1.059070631255626083e+01 1.055961050056104800e-02 1.000000000000000082e-05
1.055415391656581647e+01 1.056287485629849379e-02 1.000000000000000082e-05
1.051772767624557225e+01 1.055971476866746951e-02 1.000000000000000082e-05
1.048142715618621779e+01 1.056181819023676791e-02 1.000000000000000082e-05
1.044525192248121215e+01 1.055844656942940031e-02 1.000000000000000082e-05
1.040920154272158094e+01 1.055495734016476984e-02 1.000000000000000082e-05
1.037327558599074173e+01 1.055717022903862254e-02 1.000000000000000082e-05
1.033747362285939708e+01 1.055791097086975980e-02 1.000000000000000082e-05
1.030179522538033332e+01 1.055525093119017571e-02 1.000000000000000082e-05
1.026623996708334552e+01 1.055485300672688066e-02 1.000000000000000082e-05
1.023080742297014112e+01 1.055788662118040122e-02 1.000000000000000082e-05
1.019549716950923290e+01 1.055966614343494502e-02 1.000000000000000082e-05
1.016030878463093501e+01 1.055399143252945884e-02 1.000000000000000082e-05
1.012524184772224167e+01 1.056528005763204651e-02 1.000000000000000082e-05
1.009029593962184634e+01 1.055635604319813715e-02 1.000000000000000082e-05
1.005547064261512524e+01 1.056530722204840345e-02 1.000000000000000082e-05
1.002076554042912804e+01 1.056822956278307031e-02 1.000000000000000082e-05
9.986180218227644900e+00 1.056162380640971593e-02 1.000000000000000082e-05
9.951714262606182970e+00 1.057059340991724043e-02 1.000000000000000082e-05
9.917367261587070715e+00 1.056971938594144893e-02 1.000000000000000082e-05
9.883138804614533868e+00 1.056998993792103783e-02 1.000000000000000082e-05
9.849028482549758934e+00 1.057252761568209382e-02 1.000000000000000082e-05
9.815035887666034853e+00 1.056317422751961756e-02 1.000000000000000082e-05
9.781160613643852031e+00 1.056776903660246007e-02 1.000000000000000082e-05
9.747402255566061768e+00 1.057512577805916516e-02 1.000000000000000082e-05
9.713760409913039240e+00 1.057510132009981466e-02 1.000000000000000082e-05
9.680234674557841146e+00 1.057557944084527163e-02 1.000000000000000082e-05
9.646824648761421983e+00 1.057432932109259906e-02 1.000000000000000082e-05
9.613529933167834329e+00 1.057407606640754609e-02 1.000000000000000082e-05
9.580350129799432679e+00 1.057386111500215053e-02 1.000000000000000082e-05
9.547284842052169651e+00 1.056694531809599692e-02 1.000000000000000082e-05
9.514333674690796272e+00 1.057500649790787083e-02 1.000000000000000082e-05
9.481496233844181276e+00 1.057348180021641833e-02 1.000000000000000082e-05
9.448772127000580667e+00 1.057576577569285803e-02 1.000000000000000082e-05
9.416160963002946360e+00 1.057174883296323371e-02 1.000000000000000082e-05
9.383662352044270349e+00 1.057128300847983565e-02 1.000000000000000082e-05
9.351275905662896903e+00 1.057269013399524463e-02 1.000000000000000082e-05
9.319001236737900484e+00 1.057799186360542688e-02 1.000000000000000082e-05
9.286837959484453009e+00 1.058264037281949482e-02 1.000000000000000082e-05
9.254785689449198216e+00 1.058338968794677454e-02 1.000000000000000082e-05
9.222844043505689982e+00 1.059262446585653231e-02 1.000000000000000082e-05
9.191012639849768462e+00 1.058125992273526925e-02 1.000000000000000082e-05
9.159291097995042819e+00 1.058648970245211138e-02 1.000000000000000082e-05
9.127679038768299336e+00 1.058533149455203638e-02 1.000000000000000082e-05
9.096176084304994802e+00 1.058701416766402031e-02 1.000000000000000082e-05
9.064781858044746343e+00 1.057622039920366047e-02 1.000000000000000082e-05
9.033495984726799932e+00 1.057469205404833884e-02 1.000000000000000082e-05
9.002318090385584171e+00 1.055766798976274720e-02 1.000000000000000082e-05
8.971247802346201894e+00 1.055578652160458694e-02 1.000000000000000082e-05
8.940284749219994609e+00 1.055005366987743845e-02 1.000000000000000082e-05
8.909428560900121141e+00 1.054611948464740170e-02 1.000000000000000082e-05
8.878678868557084769e+00 1.054462876314427727e-02 1.000000000000000082e-05
8.848035304634381149e+00 1.054464735212198162e-02 1.000000000000000082e-05
8.817497502844057422e+00 1.054466312108514291e-02 1.000000000000000082e-05
8.787065098162369026e+00 1.054467867787040394e-02 1.000000000000000082e-05
8.756737726825392087e+00 1.054469079753909272e-02 1.000000000000000082e-05
8.726515026324683788e+00 1.054470779392684306e-02 1.000000000000000082e-05
8.696396635402964037e+00 1.054470819439419331e-02 1.000000000000000082e-05
8.666382194049765175e+00 1.054472504734451678e-02 1.000000000000000082e-05
8.636471343497165165e+00 1.054472237451520300e-02 1.000000000000000082e-05
8.606663726215465715e+00 1.054473138292576738e-02 1.000000000000000082e-05
8.576958985908939681e+00 1.054472817968160267e-02 1.000000000000000082e-05
8.547356767511573139e+00 1.054472802916897427e-02 1.000000000000000082e-05
8.517856717182802129e+00 1.054472965544934852e-02 1.000000000000000082e-05
8.488458482303309793e+00 1.054472728150038056e-02 1.000000000000000082e-05
8.459161711470787992e+00 1.054472753029514487e-02 1.000000000000000082e-05
8.429966054495741545e+00 1.054472396978721992e-02 1.000000000000000082e-05
8.400871162397324454e+00 1.054472012697288061e-02 1.000000000000000082e-05
8.371876687399131711e+00 1.054473395359259262e-02 1.000000000000000082e-05
8.342982282925079929e+00 1.054471026213422459e-02 1.000000000000000082e-05
8.314187603595231124e+00 1.054470592308804147e-02 1.000000000000000082e-05
8.285492305221684006e+00 1.054469798322061128e-02 1.000000000000000082e-05
8.256896044804463486e+00 1.054468233839981305e-02 1.000000000000000082e-05
8.228398480527399528e+00 1.054467479745113678e-02 1.000000000000000082e-05
8.199999271754068175e+00 1.054466137276659395e-02 1.000000000000000082e-05
8.171698079023695271e+00 1.054465281526016304e-02 1.000000000000000082e-05
8.143494564047109918e+00 1.054464681137190496e-02 1.000000000000000082e-05
